annee,type,topic,valeur
2020.0,mot_cle_eco,renewable,88.0
2020.0,mot_cle_eco,energy,886.0
2020.0,mot_cle_eco,carbon,309.0
2020.0,mot_cle_eco,greenhouse,103.0
2020.0,mot_cle_eco,emissions,352.0
2020.0,mot_cle_eco,ecological,227.0
2020.0,mot_cle_eco,atmospheric,1.0
2020.0,mot_cle_eco,ozone,0.0
2020.0,mot_cle_eco,waste,164.0
2021.0,topic_weight,0,0.3888155221939087
2021.0,topic_weight,1,4.714435577392578
2021.0,topic_weight,2,10.932331085205078
2021.0,topic_weight,3,10.640359878540039
2021.0,topic_weight,4,0.0
2021.0,topic_weight,5,0.23455771803855896
2021.0,nb_topics_actifs,,3.0
2021.0,mot_cle_eco,environment,1118.0
2021.0,mot_cle_eco,environmental,1052.0
2021.0,mot_cle_eco,climate,3714.0
2021.0,mot_cle_eco,global,474.0
2021.0,mot_cle_eco,warming,108.0
2021.0,mot_cle_eco,biodiversity,659.0
2021.0,mot_cle_eco,ecosystem,110.0
2021.0,mot_cle_eco,pollution,189.0
2021.0,mot_cle_eco,sustainable,1392.0
2021.0,mot_cle_eco,sustainability,366.0
2021.0,mot_cle_eco,renewable,386.0
2021.0,mot_cle_eco,energy,2632.0
2021.0,mot_cle_eco,carbon,519.0
2021.0,mot_cle_eco,greenhouse,123.0
2021.0,mot_cle_eco,emissions,666.0
2021.0,mot_cle_eco,ecological,190.0
2021.0,mot_cle_eco,atmospheric,2.0
2021.0,mot_cle_eco,ozone,7.0
2021.0,mot_cle_eco,waste,276.0
2022.0,topic_weight,0,1.2073533535003662
2022.0,topic_weight,1,0.0
2022.0,topic_weight,2,0.0
2022.0,topic_weight,3,16.590595245361328
2022.0,topic_weight,4,2.10691499710083
2022.0,topic_weight,5,7.037433624267578
2022.0,nb_topics_actifs,,4.0
2022.0,mot_cle_eco,environment,1021.0
2022.0,mot_cle_eco,environmental,767.0
2022.0,mot_cle_eco,climate,3091.0
